DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,FLOW_KIND,WELL_TYPE,YEAR,MONTH,DAY,DAY_OF_WEEK,Actual Production,Predicted Production,Forecast Error,Absolute Error,Percentage Error
2015-06-24,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,200.03610958333334,106.227048125,169.444074375,12.629350833333334,10.613051875,%,30.592035208333332,29.83436625,1.9451008333333333,121.13,17833.39,9.99,production,OP,2015,6,24,2,121.13,121.4618905864913,-0.33189058649129777,0.33189058649129777,0.27399536571559296
2016-06-27,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,199.74126375,106.473325,182.404340625,19.983917708333333,27.931483958333335,%,17.336923125,46.697565,2.29082125,143.68,23046.92,202.65,production,OP,2016,6,27,0,143.68,148.97988606266654,-5.2998860626665305,5.2998860626665305,3.688673484595302
2010-06-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,280.30925041666666,107.32284583333333,217.10336979166667,28.640923541666666,51.74881625,%,63.205880625,88.50603708333334,30.085040625,2384.64,340424.28,2913.15,production,OP,2010,6,8,1,2384.64,2382.1895392453207,2.4504607546791703,2.4504607546791703,0.10276019670387021
2011-03-08,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,51.00379354166667,22.979529166666666,49.820221458333336,%,51.00379354166667,87.32231541666667,18.594549583333333,1085.72,169749.85,3665.57,production,OP,2011,3,8,1,1085.72,1040.0257928373012,45.69420716269883,45.69420716269883,4.208654824696867
2011-03-28,NO 15/9-F-4 AH,5693,15/9-F-4,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,,,,,,,,,0.0,,,,injection,WI,2011,3,28,0,557.55,557.5007372007802,0.049262799219718545,0.049262799219718545,0.008835584112585157
2010-01-21,NO 15/9-F-4 AH,5693,15/9-F-4,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,,,,,,,,,0.0,,,,injection,WI,2010,1,21,3,557.55,557.4956709567771,0.05432904322287868,0.05432904322287868,0.009744245937203602
2015-04-07,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,48.135199791666665,27.183296666666667,35.14336791666667,%,48.135199791666665,73.77870083333333,19.46462916666667,680.56,98875.15,649.52,production,OP,2015,4,7,1,680.56,688.0410206603393,-7.481020660339368,7.481020660339368,1.0992448366550147
2011-08-30,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,246.19071270833334,103.28311166666667,203.959091875,0.0,58.20419291666666,%,42.23162083333333,89.48883604166667,11.697207291666667,1708.86,264699.75,4302.93,production,OP,2011,8,30,1,1708.86,1694.4383050872302,14.42169491276968,14.42169491276968,0.8439365959042685
2010-06-05,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,247.80884479166667,106.7664625,201.330760625,0.0,76.63732583333334,%,46.47808416666667,92.33567020833334,12.94402625,2810.65,401083.64,3466.63,production,OP,2010,6,5,5,2810.65,2485.866621284273,324.78337871572694,324.78337871572694,11.555454386555668
2011-02-14,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,8.33333,242.54332485839393,104.94368604998242,201.26060606114243,0.0,83.53046611111111,%,41.28271879725152,76.99564686654675,11.2975040003336,638.36,133445.95,1213.5,production,OP,2011,2,14,0,638.36,681.8731694047616,-43.513169404761584,43.513169404761584,6.816399743837581
2007-10-26,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,,,,,,,,,,,,,,injection,WI,2007,10,26,4,557.55,556.6635857852494,0.8864142147505163,0.8864142147505163,0.15898380678872143
2015-08-09,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,229.90704,102.82611,160.27097,,0.0,%,69.63607,15.27238,50.85825,0.0,0.0,0.0,production,OP,2015,8,9,6,0.0,0.0,0.0,0.0,
2009-01-21,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,22.175,,,,,,,,,0.0,,,,injection,WI,2009,1,21,2,557.55,557.4956709567768,0.054329043223106055,0.054329043223106055,0.009744245937244383
2009-02-10,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,271.88419625,106.62178270833333,183.29868854166668,19.933636666666665,50.58019916666667,%,88.58550770833334,81.55990645833333,55.34881895833333,4393.0,656412.53,0.0,production,OP,2009,2,10,1,4393.0,4428.887290399969,-35.88729039996906,35.88729039996906,0.8169198816291615
2009-10-12,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,239.75694583333333,105.80093958333333,171.51134708333333,,41.23936333333333,%,68.24559875,87.68273458333333,34.73532625,3585.75,501596.04,626.31,production,OP,2009,10,12,0,3585.75,3660.4745316845238,-74.72453168452375,74.72453168452375,2.0839303265571707
