Feature,Importance
AVG_WHP_P,0.3764866401661692
YEAR,0.3635430882300996
AVG_WHT_P,0.0727618562621406
ON_STREAM_HRS,0.05433019903555201
AVG_CHOKE_SIZE_P,0.05364570592426866
AVG_ANNULUS_PRESS,0.034016831526886865
AVG_DP_TUBING,0.01270523945325084
AVG_DOWNHOLE_PRESSURE,0.010684166300621887
AVG_DOWNHOLE_TEMPERATURE,0.010110660144434682
MONTH,0.006294499665597353
DP_CHOKE_SIZE,0.004674721663884894
DAY,0.000596763367219754
DAY_OF_WEEK,0.00014962825987370338
